NRC,ST,DEPARTAMENTO,AREA,CLAVE,MATERIA,HRS_TEORIA,HRS_LAB,SECC,CRED,CUPO,OCUP,DISP,INI,FIN,L,M,I,J,V,S,EDIF,AULA,PROFESOR,FECHA INICIO,FECHA FIN,NIVEL
43582,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D04,7,40,33,7,1100,1255,,M,,,,,DEDQ,A018,"AREVALO RODRIGUEZ, SALVADOR  (1117151)",15/08/2016,13/12/2016,LI
43582,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D04,7,40,33,7,1100,1155,,,,J,,,DEDQ,A018,"AREVALO RODRIGUEZ, SALVADOR  (1117151)",15/08/2016,13/12/2016,LI
43581,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D07,7,37,33,4,1700,1855,,,,,V,,DEDQ,A016,"HUERTA OROZCO, ROBERTO  (1511610)",15/08/2016,13/12/2016,LI
43581,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D07,7,37,33,4,1800,1855,,,I,,,,DEDQ,A016,"HUERTA OROZCO, ROBERTO  (1511610)",15/08/2016,13/12/2016,LI
43578,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D08,7,37,35,2,900,1055,L,,,,,,DEDQ,A016,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
43578,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D08,7,37,35,2,900,955,,,I,,,,DEDQ,A016,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
43584,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D09,7,40,35,5,1600,1755,,,,J,,,DEDQ,A018,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,LI
43584,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D09,7,40,35,5,1600,1655,,M,,,,,DEDQ,A018,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,LI
43586,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D10,7,37,33,4,1300,1455,L,,,,,,DEDQ,A016,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
43586,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D10,7,37,33,4,1300,1355,,,I,,,,DEDQ,A016,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
43577,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D11,7,37,35,2,1100,1255,,,,,V,,DEDQ,A017,"GONZALEZ GUTIERREZ, RAUL  (1117131)",15/08/2016,13/12/2016,LI
43577,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D11,7,37,35,2,1200,1255,,,I,,,,DEDQ,A017,"GONZALEZ GUTIERREZ, RAUL  (1117131)",15/08/2016,13/12/2016,LI
43588,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D12,7,40,31,9,1300,1455,,,,,V,,DEDQ,A020,"MOYRON PAREDES, MIGUEL ANGEL  (8101366)",15/08/2016,13/12/2016,LI
43588,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D12,7,40,31,9,1300,1355,,,I,,,,DEDQ,A020,"MOYRON PAREDES, MIGUEL ANGEL  (8101366)",15/08/2016,13/12/2016,LI
72271,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D15,7,40,39,1,900,1055,,,,,V,,DEDQ,A020,"ARIAS DE LEON, ANA MARIA  (9111594)",15/08/2016,13/12/2016,LI
72271,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D15,7,40,39,1,1000,1055,,,I,,,,DEDQ,A020,"ARIAS DE LEON, ANA MARIA  (9111594)",15/08/2016,13/12/2016,LI
43587,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D16,7,37,34,3,1000,1055,,M,,,,,DEDQ,A017,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,LI
43587,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D16,7,37,34,3,900,1055,,,,J,,,DEDQ,A017,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,LI
93316,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D17,7,40,32,8,1500,1655,L,,,,,,DEDQ,A019,"RAMIREZ GARCIA, CARLOS RAFAEL  (8407340)",15/08/2016,13/12/2016,LI
93316,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7370,ADMINISTRACION,51,0,D17,7,40,32,8,1500,1555,,,I,,,,DEDQ,A019,"RAMIREZ GARCIA, CARLOS RAFAEL  (8407340)",15/08/2016,13/12/2016,LI
46277,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D01,6,32,32,0,700,855,,,,,V,,DEDQ,A001,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46277,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D01,6,32,32,0,800,855,,,I,,,,DEDQ,A001,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46277,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D01,6,32,32,0,700,855,,,,,V,,DEDQ,A001,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46277,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D01,6,32,32,0,800,855,,,I,,,,DEDQ,A001,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46280,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D02,6,30,30,0,700,855,L,,,,,,DEDP,A007,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46280,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D02,6,30,30,0,700,755,,,I,,,,DEDP,A007,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46280,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D02,6,30,30,0,700,855,L,,,,,,DEDP,A007,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46280,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D02,6,30,30,0,700,755,,,I,,,,DEDP,A007,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46276,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D03,6,30,31,-1,900,1055,L,,,,,,DEDQ,A002,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46276,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D03,6,30,31,-1,900,955,,,I,,,,DEDQ,A002,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46276,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D03,6,30,31,-1,900,1055,L,,,,,,DEDQ,A002,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46276,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D03,6,30,31,-1,900,955,,,I,,,,DEDQ,A002,"GONZALEZ GUTIERREZ, J.FELIX ADOLFO  (9311197)",15/08/2016,13/12/2016,"LI,TS"
46279,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D05,6,30,6,24,1900,2055,,,,,V,,DEDQ,A002,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46279,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D05,6,30,6,24,2000,2055,,,I,,,,DEDQ,A002,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46279,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D05,6,30,6,24,1900,2055,,,,,V,,DEDQ,A002,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46279,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D05,6,30,6,24,2000,2055,,,I,,,,DEDQ,A002,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46285,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D06,6,30,13,17,1900,2055,,M,,,,,DEDP,A014,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46285,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D06,6,30,13,17,1900,1955,,,,J,,,DEDP,A014,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46285,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D06,6,30,13,17,1900,2055,,M,,,,,DEDP,A014,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46285,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D06,6,30,13,17,1900,1955,,,,J,,,DEDP,A014,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46275,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D07,6,30,13,17,1100,1255,L,,,,,,DEDQ,A001,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46275,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D07,6,30,13,17,1100,1155,,,I,,,,DEDQ,A001,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46275,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D07,6,30,13,17,1100,1255,L,,,,,,DEDQ,A001,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46275,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D07,6,30,13,17,1100,1155,,,I,,,,DEDQ,A001,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46273,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D14,6,30,15,15,1700,1855,,,,,V,,DEDT,A005,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46273,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D14,6,30,15,15,1800,1855,,,I,,,,DEDT,A005,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46273,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D14,6,30,15,15,1700,1855,,,,,V,,DEDT,A005,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46273,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D14,6,30,15,15,1800,1855,,,I,,,,DEDT,A005,"SOLLANO GARCIA, CESAR FRANCISCO  (9010955)",15/08/2016,13/12/2016,"LI,TS"
46288,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D15,6,30,22,8,1100,1255,,M,,,,,DEDQ,A002,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46288,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D15,6,30,22,8,1100,1155,,,,J,,,DEDQ,A002,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46288,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D15,6,30,22,8,1100,1255,,M,,,,,DEDQ,A002,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
46288,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID204,ADMINISTRACION,40,20,D15,6,30,22,8,1100,1155,,,,J,,,DEDQ,A002,"SANCHEZ GARZA, JAIME ALFONSO  (8308498)",15/08/2016,13/12/2016,"LI,TS"
103863,A,DEPTO. DE CIENCIAS COMPUTACIONALES                ,INTE,I5902,ADMINISTRACION DE BASES DE DATOS,51,17,D01,8,40,21,19,700,855,,M,,J,,,DEDX,A006,"URIBE NAVA, SERGIO JAVIER  (9107738)",15/08/2016,13/12/2016,LI
49549,A,DEPTO. DE CIENCIAS COMPUTACIONALES                ,CICO,CC313,ADMINISTRACION DE BASES DE DATOS,80,0,D01,11,40,17,23,1300,1455,,M,,J,,,DEDX,A013,"LARA LOPEZ, GRACIELA  (1100941)",15/08/2016,13/12/2016,LI
119874,A,DEPTO. DE CIENCIAS COMPUTACIONALES                ,INTE,I5902,ADMINISTRACION DE BASES DE DATOS,51,17,D02,8,40,39,1,900,1055,L,,I,,,,DEDX,A018,"RETAMOZA VEGA, PATRICIA DEL RO  (1119711)",15/08/2016,13/12/2016,LI
119875,A,DEPTO. DE CIENCIAS COMPUTACIONALES                ,INTE,I5902,ADMINISTRACION DE BASES DE DATOS,51,17,D03,8,40,26,14,1300,1455,L,,I,,,,DEDX,A011,"ORTEGA SANCHEZ, NOE  (1934439)",15/08/2016,13/12/2016,LI
119876,A,DEPTO. DE CIENCIAS COMPUTACIONALES                ,INTE,I5902,ADMINISTRACION DE BASES DE DATOS,51,17,D04,8,40,21,19,1700,1855,L,,I,,,,DEDX,A021,"ESCAMILLA BECERRA, JUAN ANTONIO  (1101198)",15/08/2016,13/12/2016,LI
50047,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID408,ADMINISTRACION DE LA CALIDAD,60,0,D01,8,30,25,5,1100,1255,,,,J,,,DEDQ,A004,"QUINTERO SANCHEZ, MANUEL DE JESUS  (8306735)",15/08/2016,13/12/2016,LI
50047,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID408,ADMINISTRACION DE LA CALIDAD,60,0,D01,8,30,25,5,1200,1255,,M,,,,,DEDQ,A004,"QUINTERO SANCHEZ, MANUEL DE JESUS  (8306735)",15/08/2016,13/12/2016,LI
50046,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID408,ADMINISTRACION DE LA CALIDAD,60,0,D02,8,40,40,0,1700,1855,,,,,V,,DEDQ,A014,"GARCIA HERNANDEZ, GERARDO  (1006018)",15/08/2016,13/12/2016,LI
50046,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID408,ADMINISTRACION DE LA CALIDAD,60,0,D02,8,40,40,0,1800,1855,,,I,,,,DEDQ,A014,"GARCIA HERNANDEZ, GERARDO  (1006018)",15/08/2016,13/12/2016,LI
65200,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D01,7,30,24,6,700,855,,,,,V,,DEDQ,A012,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
65200,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D01,7,30,24,6,800,855,,,I,,,,DEDQ,A012,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
65199,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D02,7,32,29,3,1500,1655,L,,,,,,DEDQ,A012,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
65199,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D02,7,32,29,3,1500,1555,,,I,,,,DEDQ,A012,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
65197,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D03,7,30,27,3,1500,1655,,,,,V,,DEDQ,A013,"GONZALEZ SANCHEZ, SANTOS JAVIER  (9109050)",15/08/2016,13/12/2016,LI
65197,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D03,7,30,27,3,1600,1655,,,I,,,,DEDQ,A013,"GONZALEZ SANCHEZ, SANTOS JAVIER  (9109050)",15/08/2016,13/12/2016,LI
65198,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D04,7,35,33,2,1300,1455,L,,,,,,DEDQ,A013,"ONTIVEROS CASTA�EDA, PERLA ESPERANZA  (8111850)",15/08/2016,13/12/2016,LI
65198,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D04,7,35,33,2,1300,1355,,,I,,,,DEDQ,A013,"ONTIVEROS CASTA�EDA, PERLA ESPERANZA  (8111850)",15/08/2016,13/12/2016,LI
65201,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D05,7,33,28,5,700,855,L,,,,,,DEDQ,A013,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
65201,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D05,7,33,28,5,700,755,,,I,,,,DEDQ,A013,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
87449,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D06,7,33,29,4,1300,1455,,,,,V,,DEDQ,A002,"ONTIVEROS CASTA�EDA, PERLA ESPERANZA  (8111850)",15/08/2016,13/12/2016,LI
87449,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D06,7,33,29,4,1400,1455,,,I,,,,DEDQ,A002,"ONTIVEROS CASTA�EDA, PERLA ESPERANZA  (8111850)",15/08/2016,13/12/2016,LI
83765,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D07,7,33,29,4,1300,1455,,M,,,,,DEDQ,A013,"ONTIVEROS CASTA�EDA, PERLA ESPERANZA  (8111850)",15/08/2016,13/12/2016,LI
83765,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I7357,ADMINISTRACION DE PERSONAL,51,0,D07,7,33,29,4,1300,1355,,,,J,,,DEDQ,A013,"ONTIVEROS CASTA�EDA, PERLA ESPERANZA  (8111850)",15/08/2016,13/12/2016,LI
44221,A,DEPTO. DE INGENIERIA DE PROYECTOS                 ,INTE,I7674,ADMINISTRACION DE PROYECTOS,64,0,D01,6,10,7,3,1730,2125,,,,J,,,DEDZZ,,"BERNAL CASILLAS, JOSE DE JESUS  (9510160)",15/08/2016,13/12/2016,MA
65143,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,NAEX,I3311,ADMINISTRACION DE RECURSOS HUMANOS,48,0,D01,6,35,10,25,900,1055,,,,J,,,DEDK,A011,"GONZALEZ GUTIERREZ, RAUL  (1117131)",15/08/2016,13/12/2016,LI
65143,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,NAEX,I3311,ADMINISTRACION DE RECURSOS HUMANOS,48,0,D01,6,35,10,25,1000,1055,,M,,,,,DEDK,A011,"GONZALEZ GUTIERREZ, RAUL  (1117131)",15/08/2016,13/12/2016,LI
65187,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D01,6,37,35,2,1300,1555,,,,,V,,DEDI,A006,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
83786,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D02,6,37,29,8,1700,1855,L,,,,,,DEDI,A007,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
83786,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D02,6,37,29,8,1700,1755,,,I,,,,DEDI,A007,"GARCIA MEDELLIN, FRANCISCO  (9711331)",15/08/2016,13/12/2016,LI
91160,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D03,6,37,31,6,900,1055,,,,,V,,DEDQ,A002,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
91160,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D03,6,37,31,6,1000,1055,,,I,,,,DEDQ,A002,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
46247,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID202,ADMINISTRACION DE RECURSOS HUMANOS,40,20,D03,6,30,11,19,1700,1855,,,,,V,,DEDP,A022,"CERVANTES MARTINEZ, BLANCA ESTELA  (8401975)",15/08/2016,13/12/2016,LI
46247,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID202,ADMINISTRACION DE RECURSOS HUMANOS,40,20,D03,6,30,11,19,1800,1855,,,I,,,,DEDP,A022,"CERVANTES MARTINEZ, BLANCA ESTELA  (8401975)",15/08/2016,13/12/2016,LI
91596,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D04,6,38,33,5,1100,1255,L,,,,,,DEDI,A006,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
91596,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INTE,I5810,ADMINISTRACION DE RECURSOS HUMANOS,34,17,D04,6,38,33,5,1100,1155,,,I,,,,DEDG,A002,"VERA VAZQUEZ, MAGDALENA  (9104191)",15/08/2016,13/12/2016,LI
46243,A,DEPTO. DE INGENIERIA INDUSTRIAL                   ,INDU,ID202,ADMINISTRACION DE RECURSOS HUMANOS,40,20,D05,6,30,24,6,1700,1855,,M,,,,,DEDQ,A015,"CERVANTES MARTINEZ, BLANCA ESTELA  (8401975)",15/08/2016,13/12/2016,LI
